id,created_at,closed_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description,source_type,source_record_key
109,2023-06-27,2023-06-27,closed,unified,统一平台,220kV金亭变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:a2032ae4b63876b8a385653cf2925fce58796cde9273af5d6259e4889831c772
110,2023-06-28,2023-06-28,closed,unified,统一平台,110kV海潮变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:8cb063d731254aa65eff1082a41f0e5c79b5c48572b3a7f3ce6ef92a4f82af53
111,2023-06-29,2023-06-29,closed,unified,统一平台,220kV丽水变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:2a0e493daa680a03b31bc38bc28c54d4d612c9741e2da5fc8354885acc4586fd
112,2023-07-03,2023-07-03,closed,unified,统一平台,220kV仙都变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:293630183afb5b316f3bc1e0c625d3c0a7349d27e23d99e38315856339572d15
126,2023-07-27,2023-07-27,closed,unified,统一平台,110kV缙云变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,更换尾纤1条和备用光配端口并调试,import_worklog,unified:import_worklog:47f5a2208d69359d272ad586992284830dd09170796d1a7d9a022bf8df0ab5af
147,2023-08-23,2023-08-23,closed,unified,统一平台,220kV金亭变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,远程智慧监控系统调试,import_worklog,unified:import_worklog:37fa21c1b3fce8b98e94801dee7e31ed826cec751b068a79213a6eac9e6aed59
165,2023-10-19,2023-10-19,closed,unified,统一平台,110kV岩泉变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,仓库摄像机光纤传输故障，因场地施工原因无法恢复,import_worklog,unified:import_worklog:1832dc3481cf4dfdfb5406f439c8504ada8fdbf101e8d8311283255daafacee0
194,2024-01-19,2024-01-19,closed,unified,统一平台,110kV岩泉变,110kV,电容器智能投切装置室,INSTALLATION_DEBUG,施工/调试/接入,电容器智能投切装置室摄像机已拆除，无需更换,import_worklog,unified:import_worklog:9bcb741751c56cddca29d51a893d1db601aa6555f59ceb9b497e6fdaa3b1b600
227,2024-05-20,2024-05-20,closed,inspection,智慧巡视,220kV仙都变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,永都间隔道路旁摄像机拆除,import_worklog,inspection:import_worklog:9e5fec3ab231e7dbe21a8f11ee4f653537d59cf1a4b3d3460d34144bda2a0e2a
235,2024-06-13,2024-06-13,closed,inspection,智慧巡视,220kV仙都变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,永都间隔道路旁摄像机复原,import_worklog,inspection:import_worklog:d7d2e2bb9bd99a295c396404c55a107175641841476d923a4382145494d35e2b
321,2025-04-21,2025-04-21,closed,unified,统一平台,220kV遂昌变,220kV,电容器场地东南侧-3#球机,INSTALLATION_DEBUG,施工/调试/接入,220kV场地1#摄像机更换尾纤，光纤熔接电容器场地东南侧3#摄像机并调试。,import_worklog,unified:import_worklog:0240ac5bd62fe38f1666aca1a8b6e6c4c9e9d7cdf63aab96c749cf82e79af719
328,2025-05-07,2025-05-07,closed,unified,统一平台,220kV枫树变,220kV,35kV开关室西侧-15#球机,INSTALLATION_DEBUG,施工/调试/接入,35kV开关室西侧15#摄像机调试,import_worklog,unified:import_worklog:36dee5aab661162f784f433bb4d2f1c75fe6e77fd4f568dcdc95fadc66ba9d9f
